id,name
7760,郭静
4721,朴树
233864,在树上唱歌
8918,梅艳芳
276292,冬眠的爱情
6454,张信哲
186192,你应该飞的
7896,黄小琥
139359,且听风吟
6488,张过年
192335,世界
1058228,陈鸿宇
399340140,来信
4171,刘昊霖
239198,伴
7652,范玮琪
229161,最重要的决定
448339199,孤独及其所创造的
173002,张玮玮和郭龙
26494698,米店
3681,李志
6460,张学友
7921,何如惠
190773,似曾相识
12270517,有理君
26522011,米店
13529,衣湿乐队
28605004,米店
5073,宋冬野
101990,The Cardigans
490777431,越反越爱（Cover 林宥嘉）
12115019,Fiveonesix
443622841,成全
1079131,陈一果
410710802,天使的侧脸（Cover 陈小霞）
6460,张学友
190473,秋意浓
27646203,卡比巴拉的海
3713,刘东明
26343176,倒计时
3688,刘欢
109291,喂鸡
0,雪姨
27906826,你有本事抢男人
1047088,小魂
21948077,Communication
8336,林忆莲
255858,词不达意
94968,Joan Jett &amp; the Blackhearts
4132379,I Hate Myself For Loving You
3691,刘德华
110146,我恨我痴心
46148,Warren Smith
5136422,Ubangi Stomp
3699,李克勤
5774,萧煌奇
168261,只能勇敢
5346,王力宏
155783,最好的爱
8337,梁文音
255731,哭过就好了
7063,A-Lin
205340,寂寞不痛
34167730,咋啦大妈
20878,ONE OK ROCK
453185041,One Way Ticket
21132,RADWIMPS
28095557,五月の蝿
11760,后海大鲨鱼
27510434,猛犸
5767,谢天笑
167597,再次来临
115569,护花使者
89365,Coldplay
17177324,Yellow
6458,郑钧
186683,流星
136782,Fools Garden
27180681,Lemon Tree
9275,苏慧伦
9621,王菲
300068,扑火
5787,许志安
170892,我们都要幸福
2116,陈奕迅
12971,痛仰乐队
381825,公路之歌
6458,郑钧
33004400,毒蘑菇
12877,丝绒公路
380683,只为灿烂的瞬间
99989,Sum 41
4278398,The Hell Song
93187,Green Day
28167477,Lemon Tree (Live)
101982,The Cranberries
4330110,Dreams
9621,王菲
68350,梦中人
74613,Sophie Zelmani
3404770,Going Home
9621,王菲
299258,乘客
31247,David Usher
64136,积木
7221,蔡淳佳
209932,有心人，有情人
8753,李佳薇
410519068,炼爱
6066,杨宗纬
176047,让
13283,信乐团
18127593,Holiday (Album Version)
88150,Blur
3951467,Song 2
98110,Oasis
17822820,Supersonic
99992,Suede
4279267,Beautiful Ones
102028,The Script
19542376,Breakeven
5770,许巍
167880,像风一样自由
22215518,Black Black Heart
3065,黄立行
8326,刘若英
92993,分开旅行
74670,Skeeter Davis
3413782,The End of the World
2115,陈百强
65883,冬恋
93190,Gregorian Chants
4083857,So Sad
387812,死了都要爱
8753,李佳薇
274696,大火
7652,范玮琪
229394,最初的梦想
8325,梁静茹
25640778,会呼吸的痛
13283,信乐团
387592,离歌
3684,林俊杰
108134,学不会
5001,简弘亦
425295025,魔鬼中的天使 
88147,Bon Jovi
3950546,It's My Life
95439,Linkin Park
4153386,Faint
40422,Nickelback
21267051,When We Stand Together
11514,二手玫瑰
353698,火车快开
919478065,国庆小长假（不）负责任抢票指南
7768,关淑怡
11265,草蜢
234598,So Sad
64153,Laura Pausini
21035223,Un giorno senza te
10571,郑秀文
328153,唉声叹气
68328,Maria Conchita Alonso
34528998,La Loca
7225,陈慧娴
212376,傻女
69840,Nicole
7652,范玮琪
229336,一个像夏天一个像秋天
13283,信乐团
387717,海阔天空
3685,林宥嘉
34916137,你把我灌醉 (Live)
6460,张学友
190563,每天爱你多一些
10559,张惠妹
28314045,解脱
1097163,Dark Moon
27109360,So viele Lieder sind in mir
7225,陈慧娴
212652,夜机
59238,Hélène Rolles
2700056,Je m'appelle Hélène
7221,蔡淳佳
210089,依恋
138798,Bertie Higgins
5120906,Casablanca
6457,张国荣
29343125,Casablanc/片段 (英/粤语)
0,Dark Moon&amp;小小
475541291,分手快乐（Cover 梁静茹）
9272,孙燕姿
287719,开始懂了
10569,周蕙
327933,约定
10562,张韶涵
327235,遗失的美好
5769,信
167696,火烧的寂寞
7896,黄小琥
239188,没那么简单
185017,Simon &amp; Garfunkel
1934618,Scarborough Fair / Canticle
2115,陈百强
63952,失业生
50893,Celine Dion
2308499,My Heart Will Go On
10209,叶蒨文
317942,系我心弦
72725,Richard Marx
3313653,Right Here Waiting
6495,钟镇涛
2116,陈奕迅
28563314,时光隧道
12351279,杨又涵
469655192,淋雨一直走（Cover 张韶涵）
10559,张惠妹
31311139,难搞
10559,张惠妹
32102723,灵魂尽头
9940,徐佳莹
26211169,想自由
7760,郭静
233854,每一天都不同
913640173,【华语】青年难懂姚若龙
194639,红叶…斜落我心寂寞时
39268,Michael Crétu
1747018,Moonlight Flower
5022,孙伯纶
149004,寂寞在唱歌
38316,Leo Sayer
1674192,More Than I Can Say
7667,凤飞飞
232097,爱你在心口难开
69438,Neil Sedaka
27417072,One More Mountain To Climb
9488,田震
293885,好大一棵树
66861,Miami Sound Machine
32717345,Conga (Single Version)
3706,林子祥
28315633,Ah Lam日记
79388,The Toys
3648724,A Lover's Concerto
3706,林子祥
117107,数字人生
88176,BwO
16818135,Sunshine In The Rain (Italo Mix) - remix
7219,蔡依林
209643,日不落
31224,Daniel Bedingfield
17222762,James Dean (I Wanna Know)
3694,罗志祥
110477,精舞门
102077,O-Zone
4346391,Dragostea Din Tei (Original Romanian Version)
7783,郭美美
236333,不怕不怕
85506,ABBA
3880252,GIMME GIMME GIMME
2743,费翔
83203,恼人的秋风
103054,The Nolans
4385492,Sexy Music
2743,费翔
83235,冬天里的一把火
96282,Modern Talking
4175444,Brother Louie
189934,邓洁仪
189939,刘鸿
364155,路灯下的小姑娘
1049101,Big Pig
30352466,I Can't Break Away 
6457,张国荣
29343361,暴风一族
90555,Dschinghis Khan
4023396,Dschinghis Khan
3706,林子祥
28315638,成吉思汗
48550,Belinda Carlisle
5134021,Circle In The Sand
7549,杜丽莎
225130,无意识的等
66364,Madonna
21231446,La Isla Bonita (Album Version)
10209,叶蒨文
318712,海旁独唱
68996,Maria Montell
17051386,And So The Story Goes (DiDaDi)
8331,李玟
255492,Di Da Di
41323,Pat Boone
486532584,The Exodus Song (This Land Is Mine)
2853,关正杰
87368,爱的土地上
76153,Shakin' Stevens
5145740,Because I Love You
8366,林志美
260209,因我爱你
38919,Mike Oldfield
1712523,Moonlight Shadow
8366,林志美
260594,月影
41934,R. Kelly
21534286,I Believe I Can Fly - Album/LP Version
3723,吕方
118804,爱飞翔
33853,George Benson
1376614,Nothing's Gonna Change My Love for You
3723,吕方
118202,求你讲清楚(Live) - live
48598,Bobby Caldwell
26675801,What You Won't Do For Love
4948,苏永康
147848,放肆
150958,B3
30394336,Can't Fight The Feeling
6460,张学友
187672,烦恼歌
88147,Bon Jovi
3951283,You Give Love a Bad Name
5399,吴国敬
162000,玩火
41933,Rod Stewart
1872296,Sailing
6457,张国荣
26620798,全赖有你
95279,Kraftwerk
4143419,The Model
6490,周启生
192653,The Model
72754,Roberta Flack
3317105,Killing Me Softly With His Song
11265,草蜢
349975,不应不懂
12080080,Traditional
60927,Joan Baez
493024593,The House Carpenter
8922,孟庭苇
276663,往事
29986,Chris de Burgh
16968290,A Spaceman Came Travelling
4813,齐秦
143148,直到世界末日
38863,Michael Bolton
21128389,That's What Love Is All About
4813,齐秦
143146,无情的雨无情的你
35489,Jean-Jacques Goldman
1515966,Comme Toi
3692,林志炫
26090165,散了吧
83526,Vanessa Paradis
3796524,Joe le Taxi
7225,陈慧娴
35691623,Joe Le Taxi
29603,Bobby Vinton
1116087,Sealed With a Kiss
2852,郭富城
89775,放下武器跟我走
150003,David Hallyday
5058992,Ooh La La
6460,张学友
